City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Opuwo,NA,-18.0607,13.84,88.68,10,0,9.37,clear sky
327,Benguela,AO,-12.5763,13.4055,73.9,73,33,9.86,scattered clouds
328,Magadan,RU,59.5667,150.8,63.54,78,100,8.05,overcast clouds
329,Huarmey,PE,-10.0681,-78.1522,63.55,77,67,5.5,broken clouds
330,Plettenberg Bay,ZA,-34.0527,23.3716,69.08,53,41,6.06,scattered clouds
331,Cabo San Lucas,MX,22.8909,-109.9124,82.51,84,89,3.0,overcast clouds
332,Biltine,TD,14.5333,20.9167,93.81,39,35,10.51,scattered clouds
333,Lapua,FI,62.9693,23.0088,73.99,39,60,4.92,broken clouds
334,Barrow,US,71.2906,-156.7887,35.37,99,100,13.24,light rain
335,Makakilo City,US,21.3469,-158.0858,77.32,73,40,0.0,scattered clouds
336,Half Moon Bay,US,37.4636,-122.4286,64.9,86,100,9.22,overcast clouds
337,Souillac,MU,-20.5167,57.5167,70.18,88,75,19.57,light rain
338,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,100,100,19.57,mist
339,Margate,GB,51.3813,1.3862,76.89,67,59,5.99,broken clouds
340,Gimli,CA,50.6336,-96.9907,65.39,65,0,19.01,clear sky
341,Bandeirantes,BR,-23.11,-50.3675,67.77,87,100,9.89,moderate rain
342,Tilichiki,RU,60.4667,166.1,53.53,92,100,4.94,overcast clouds
343,Ban Phai,TH,16.06,102.731,77.22,93,100,9.42,light rain
